USER_PHONE,USER_NAME,USER_BIRTH,USER_SEX,USER_MAIL,USER_IMAGE,USER_REG,USER_RENT_CNT
010-1234-5678,심다운,20070310,여,down@gmail.com,sample_image/010-1234-5678.png,True,1
010-1111-3333,신한길,19870511,남,1way@gmail.com,sample_image/010-1111-3333.png,True,0
010-4444-4444,배힘찬,19990511,여,powerful@gmail.com,sample_image/010-4444-4444.png,True,0
010-5555-7777,장하늘,19971110,남,longsky@gmail.com,sample_image/010-5555-7777.png,True,0
010-7777-8888,풍하나,20030115,여,wind1@gmail.com,sample_image/010-7777-8888.png,True,0
010-9999-1111,양미르,20081228,남,dragon@gmail.com,sample_image/010-9999-1111.png,True,0
010-5678-1234,홍이슬,20000824,여,red2@gmail.com,sample_image/010-5678-1234.png,True,0
010-1122-3344,손은별,19930606,여,silverstar@gmail.com,sample_image/010-1122-3344.png,True,0
010-5566-7788,장기쁨,19901019,여,happy@gmail.com,sample_image/010-5566-7788.png,True,0
010-8765-4321,고으뜸,20081129,남,gobest@gmail.com,sample_image/010-8765-4321.png,True,0
010-7923-1077,조준호,19980512,남,hiwhwnsgh455@naver.com,sample_image/010-7923-1077.png,True,0
010-5443-4863,조준호,19980512,남,abc123@naver.com,sample_image/010-5443-4863.png,True,0
010-2222-2222,콩순 이,19920202,여,22222222@deu.ac.kr,sample_image/010-2222-2222.png,True,0
010-1016-7516,조지원,19990225,남,jojeewon234@gmail.com,sample_image/010-1016-7516.png,True,0
010-9145-8248,조자웅,19891231,남,jojawoong12@gmail.com,sample_image/010-9145-8248.png,True,0
010-5478-8526,장산범,19981231,남,JangsanTiger@gmail.com,sample_image/010-5478-8526.png,True,0
